רשות מקומית,ישוב,מספר זיהוי,סוג מתקן,שם המתקן,שכונה-רובע,רחוב,מספר בית,ציר X,ציר Y,מספר המבנים,בעלי המתקן,גוף מפעיל המתקן,טלפון איש קשר,דואל איש קשר,מספר מושבים,פנוי לפעילות,גידור קיים,תאורה קיימת,נגישות לנכים,חניה לרכבים,מצב המתקן,מתקן תקני לתחרויות,שימוש לתחרויות רשמיות,שנת הקמה,משרת בית ספר
בני שמעון,כרמים,214K1108543,מגרש שחבק דשא סינטטי,שחבק כרמים,,,,191996,582498,,בני שמעון,מועצה אזורית בני שמעון,,,,פתוח ללא הגבלה,כן,כן,לא,כן,תקין ופעיל,המתקן אינו עומד במידות התקניות לתחרויות,,2019,לא
בני שמעון,ברוש,214A2108544,מתקן פתוח לכושר גופני,פארק כושר ברוש,,,,164945,586664,,בני שמעון,מועצה אזורית בני שמעון,,,,פתוח ללא הגבלה,כן,כן,לא,כן,תקין ופעיל,המתקן אינו עומד במידות התקניות לתחרויות,,2017,לא
בני שמעון,להב,214K1108545,מגרש שחבק דשא סינטטי,שחבק להב,,,,187616,587558,,,מועצה אזורית בני שמעון,,,,פתוח ללא הגבלה,כן,כן,כן,כן,תקין ופעיל,,,2018,כן
בני שמעון,להב,214B1108546,מגרש כדורסל – 19X32 מ',מגרש כדורסל להב,,,,187616,587525,,,מועצה אזורית בני שמעון,,,,פתוח ללא הגבלה,כן,כן,כן,כן,תקין ופעיל,,,2018,לא
בני שמעון,להב,214T1108547,מגרש טניס,מגרש טניס להב,,,,187595,587519,,,מועצה אזורית בני שמעון,,,,פתוח ללא הגבלה,כן,כן,כן,כן,תקין ופעיל,,,2018,לא
בני שמעון,משמר הנגב,214F2108548,מגרש כדורגל - לא תקני,"מגרש כדורגל משמ""ה",,,,173226,586112,,,מועצה אזורית בני שמעון,,,,פתוח ללא הגבלה,לא,לא,לא,כן,פעיל וזקוק לשיפוץ,,,2010,
בני שמעון,שובל,214F5308549,"אצטדיון/מסלול אתלטיקה קלה – 6-4 מסלולים, 250 או 300 מ'",מגרש אתלטיקה מבואות הנגב,,,,175206,591705,,בני שמעון,מועצה אזורית בני שמעון,,,,פתוח ללא הגבלה,כן,כן,כן,כן,תקין ופעיל,"תקני במידות אך ללא שירותים, מקלחות וחדר שופטים",,2019,כן
בני שמעון,שובל,214S1108550,מגרש חול קבוע לכדורעף או לקטרגל או לכדוריד חופים,מגרש כדורעף חופים,,,,175331,591677,,בני שמעון,מועצה אזורית בני שמעון,,,,פתוח ללא הגבלה,כן,כן,לא,כן,תקין ופעיל,המתקן אינו עומד במידות התקניות לתחרויות,,2019,
בני שמעון,שובל,214A2108551,מתקן פתוח לכושר גופני,מתחם כושר פונקציונאלי,,,,175303,591710,,בני שמעון,מועצה אזורית בני שמעון,,,,פתוח ללא הגבלה,לא,כן,כן,כן,תקין ופעיל,,,2020,כן
בני שמעון,שדה תימן חצרים,214D1309062,מסלול מרוץ ספורט מוטורי,מסלול מוטורי מוטור סיטי שדה תימן חצרים,,,,174074,575365,,בני שמעון,יזם פרטי,,,,בתיאום בלבד,כן,לא,כן,כן,תקין ופעיל,"תקני במידות אך ללא שירותים, מקלחות וחדר שופטים",ליגה מקומית ואיזורית,2018,
בני שמעון,ברוש,214P1102216,בריכת שחיה - 25X12.5 מ',בריכת יחדיו,,,,165680,586170,1,בני שמעון,מ.א בני שמעון,08-9911705,yosi@bns.org.il,,כניסה בתשלום במקום,כן,כן,כן,כן,לא פעיל,המתקן אינו עומד במידות התקניות לתחרויות,אינו משמש לתחרויות רשמיות,1980,
בני שמעון,ברוש,214T1103971,מגרש טניס,מגרש יחדיו,מרכז יחדיו,,,165390,586679,1,בני שמעון,מ.א בני שמעון,08-9911705,yosi@bns.org.il,0,פתוח ללא הגבלה,כן,כן,לא,לא,תקין ופעיל,המתקן אינו עומד במידות התקניות לתחרויות,אינו משמש לתחרויות רשמיות,2000,
בני שמעון,ברוש,214B1103974,מגרש כדורסל – 19X32 מ',מגרש יחדיו,,,,165380,586680,1,בני שמעון,מ.א בני שמעון,08-9911705,yosi@bns.org.il,,פתוח ללא הגבלה,כן,כן,לא,לא,פעיל וזקוק לשיפוץ,המתקן אינו עומד במידות התקניות לתחרויות,אינו משמש לתחרויות רשמיות,2002,
בני שמעון,נבטים,214G4100749,אולם ספורט גדול - 45X24 מ',אולם נבטים,,,,189035,570050,1,,ועד מושב נבטים,08- 6277277,yosi@bns.org.il,300,בתיאום בלבד,לא,לא,לא,כן,תקין ופעיל,"תקני וכולל שירותים, מקלחות וחדר שופטים",אינו משמש לתחרויות רשמיות,1978,
בני שמעון,נבטים,214F2105469,מגרש כדורגל - לא תקני,מגרש נבטים,,,,189240,570060,1,,ועד מושב נבטים,08-9911705,yosi@bns.org.il,,פתוח ללא הגבלה,לא,לא,לא,לא,פעיל וזקוק לשיפוץ,המתקן אינו עומד במידות התקניות לתחרויות,אינו משמש לתחרויות רשמיות,2003,
בני שמעון,תאשור,214B1105936,מגרש כדורסל – 19X32 מ',מגרש תאשור,,,,166140,586775,1,,ועד מושב תאשור,08-9911705,yosi@bns.org.il,,פתוח ללא הגבלה,כן,כן,לא,לא,לא תקין ולא פעיל,המתקן אינו עומד במידות התקניות לתחרויות,אינו משמש לתחרויות רשמיות,1985,
בני שמעון,תדהר,214B1105939,מגרש כדורסל – 19X32 מ',מגרש תדהר,,,,165390,587610,1,,ועד מושב תדהר,08-9911705,yosi@bns.org.il,,פתוח ללא הגבלה,כן,כן,לא,כן,תקין ופעיל,המתקן אינו עומד במידות התקניות לתחרויות,אינו משמש לתחרויות רשמיות,2008,
בני שמעון,תדהר,214A2107631,מתקן פתוח לכושר גופני,פארק כושר תדהר,,,,165400,587620,1,,ועד מושב תדהר,08-9911705,yosi@bns.org.il,,פתוח ללא הגבלה,לא,כן,לא,כן,תקין ופעיל,המתקן אינו עומד במידות התקניות לתחרויות,אינו משמש לתחרויות רשמיות,2008,
בני שמעון,בית קמה,214G3100272,אולם ספורט בינוני – 32x19 מ',אולם בית קמה,,,,177145,595195,1,בני שמעון,מ.א בני שמעון,08-9911705,yosi@bns.org.il,200,בתיאום בלבד,כן,כן,כן,כן,תקין ופעיל,"תקני וכולל שירותים, מקלחות וחדר שופטים",אינו משמש לתחרויות רשמיות,2002,ניצני הנגב
בני שמעון,בית קמה,214B2105473,מגרש ספורט משולב – 43X32 מ',מגרש ניצני הנגב,,,,177445,595220,1,בני שמעון,מ.א בני שמעון,08-9911705,yosi@bns.org.il,,פתוח ללא הגבלה,כן,כן,כן,כן,תקין ופעיל,המתקן אינו עומד במידות התקניות לתחרויות,אינו משמש לתחרויות רשמיות,2008,ניצני הנגב
בני שמעון,דביר,214P1102172,בריכת שחיה - 25X12.5 מ',בריכת דביר,,,,183530,591380,1,,קיבוץ דביר,08-9111333,yosi@bns.org.il,50,בתיאום בלבד,כן,כן,כן,כן,לא פעיל,המתקן אינו עומד במידות התקניות לתחרויות,אינו משמש לתחרויות רשמיות,1975,
בני שמעון,דביר,214F2103719,מגרש כדורגל - לא תקני,מגרש דביר,,,,183460,591480,1,,קיבוץ דביר,08-9911705,yosi@bns.org.il,50,פתוח ללא הגבלה,לא,כן,לא,לא,תקין ופעיל,המתקן אינו עומד במידות התקניות לתחרויות,אינו משמש לתחרויות רשמיות,1990,
בני שמעון,חצרים,214G4301146,אולם ספורט גדול - 45X24 מ',אולם קיבוץ חצרים,,,,172460,572225,1,,קיבוץ חצרים,08-9911705,yosi@bns.org.il,200,פתוח ללא הגבלה,לא,כן,כן,כן,תקין ופעיל,"תקני וכולל שירותים, מקלחות וחדר שופטים",מתקיימות במתקן תחרויות רשמיות,1975,נווה במידבר
בני שמעון,חצרים,214P1102194,בריכת שחיה - 25X12.5 מ',בריכת חצרים,,,,172550,572215,1,,קיבוץ חצרים,08-9911705,yosi@bns.org.il,,בתיאום בלבד,כן,כן,לא,לא,תקין ופעיל,המתקן אינו עומד במידות התקניות לתחרויות,אינו משמש לתחרויות רשמיות,1970,
בני שמעון,חצרים,214F2103863,מגרש כדורגל - לא תקני,מגרש חצרים,,,,172420,572310,1,,קיבוץ חצרים,08-9911705,yosi@bns.org.il,,בתיאום בלבד,לא,לא,לא,לא,פעיל וזקוק לשיפוץ,המתקן אינו עומד במידות התקניות לתחרויות,אינו משמש לתחרויות רשמיות,2004,נווה במידבר
בני שמעון,חצרים,214T1105959,מגרש טניס,מגרשי חצרים,,,,172445,572285,2,,קיבוץ חצרים,08-9911705,yosi@bns.org.il,5,פתוח ללא הגבלה,כן,כן,לא,לא,פעיל וזקוק לשיפוץ,המתקן אינו עומד במידות התקניות לתחרויות,אינו משמש לתחרויות רשמיות,2000,נווה במידבר
בני שמעון,כרמים,214B1104854,מגרש כדורסל – 19X32 מ',מגרש כרמים,,,,190090,582220,1,,ועד כרמים,08-9911705,yosi@bns.org.il,,פתוח ללא הגבלה,כן,כן,לא,לא,לא תקין ולא פעיל,המתקן אינו עומד במידות התקניות לתחרויות,אינו משמש לתחרויות רשמיות,2008,
בני שמעון,להב,214P1102222,בריכת שחיה - 25X12.5 מ',בריכת להב,,,,187280,587475,1,,קיבוץ להב,089913211,kehila@dolav.co.il,,בתיאום בלבד,כן,כן,לא,כן,תקין ופעיל,המתקן אינו עומד במידות התקניות לתחרויות,אינו משמש לתחרויות רשמיות,1975,
בני שמעון,משמר הנגב,214G3100746,אולם ספורט בינוני – 32x19 מ',אולם משמר הנגב,,,,172980,586155,1,,קיבוץ משמר הנגב,08-9911705,yosi@bns.org.il,150,בתיאום בלבד,לא,לא,לא,כן,לא פעיל,המתקן אינו עומד במידות התקניות לתחרויות,אינו משמש לתחרויות רשמיות,1972,
בני שמעון,משמר הנגב,214P1102247,בריכת שחיה - 25X12.5 מ',בריכת משמר הנגב,,,,173080,586140,1,,קיבוץ משמר הנגב,08-9911705,yosi@bns.org.il,,בתיאום בלבד,כן,כן,כן,כן,תקין ופעיל,המתקן אינו עומד במידות התקניות לתחרויות,אינו משמש לתחרויות רשמיות,1970,
בני שמעון,שובל,214G4300658,אולם ספורט גדול - 45X24 מ',אולם מבואות הנגב,,,,175310,592588,1,בני שמעון,מ.א בני שמעון,08-9911705,yosi@bns.org.il,400,בתיאום בלבד,לא,כן,כן,כן,תקין ופעיל,"תקני וכולל שירותים, מקלחות וחדר שופטים",מתקיימות במתקן תחרויות רשמיות,1989,מבואות הנגב
בני שמעון,שובל,214P1102273,בריכת שחיה - 25X12.5 מ',בריכת שובל,,,,175390,591545,1,,קיבוץ שובל,08-9911705,yosi@bns.org.il,,בתיאום בלבד,כן,כן,לא,כן,תקין ופעיל,המתקן אינו עומד במידות התקניות לתחרויות,אינו משמש לתחרויות רשמיות,1968,
בני שמעון,שומריה,214B1105904,מגרש כדורסל – 19X32 מ',מגרש שומריה,,,,188940,593355,1,,ועד שומריה,08-9911705,yosi@bns.org.il,,פתוח ללא הגבלה,כן,כן,לא,לא,פעיל וזקוק לשיפוץ,המתקן אינו עומד במידות התקניות לתחרויות,אינו משמש לתחרויות רשמיות,2000,שומריה
בני שמעון,שומריה,214A2107629,מתקן פתוח לכושר גופני,פארק כושר שומריה,,,,188930,593320,1,,ועד שומריה,08-9911705,yosi@bns.org.il,,פתוח ללא הגבלה,לא,לא,לא,לא,תקין ופעיל,המתקן אינו עומד במידות התקניות לתחרויות,אינו משמש לתחרויות רשמיות,2009,
בני שמעון,בית קמה,214P3302138,בריכת שחיה במידות אחרות,בריכת בית קמה,,,,177151,595294,,,ועד בית קמה,052945302,kehila@beitkama.org.il,,בתיאום בלבד,כן,כן,לא,כן,תקין ופעיל,,,2013,
בני שמעון,שובל,214B2105264,מגרש ספורט משולב – 43X32 מ',מגרש משולב מבואות הנגב,,,,175372,591605,,בני שמעון,מועצה אזורית בני שמעון,089911705,yosi@bns.org.il,,פתוח ללא הגבלה,כן,כן,לא,לא,תקין ופעיל,,,2012,
בני שמעון,משמר הנגב,214B2105289,מגרש ספורט משולב – 43X32 מ',"מגרש משולב משמ""ה",,,,173151,585692,,,ועד מקוני משמר הנגב,,,,פתוח ללא הגבלה,כן,כן,לא,לא,תקין ופעיל,,,2013,
בני שמעון,נבטים,214M1104902,מגרש מיני פיץ',מגרש מיני פיץ נבטים,,,,189250,569964,,,ועד מושב נבטים,,,,פתוח ללא הגבלה,כן,כן,לא,לא,תקין ופעיל,,,2015,
בני שמעון,שומריה,214B1105952,מגרש כדורסל – 19X32 מ',מגרש תלמוד תורה בנים,,,,188947,593141,,בני שמעון,ועד מקומי שומריה,089915890,yosi@bns.org.il,,פתוח ללא הגבלה,לא,כן,לא,לא,תקין ופעיל,,,2016,תלמוד תורה
בני שמעון,שומריה,214B1101769,מגרש כדורסל – 19X32 מ',"ביה""ס לבנות שומריה",,,,188890,593172,,בני שמעון,מועצה אזורית בני שמעון,,yosi@bns.org.il,,פתוח ללא הגבלה,לא,כן,לא,לא,תקין ופעיל,,,2016,
בני שמעון,דביר,214B1104550,מגרש כדורסל – 19X32 מ',מגרש כדורסל דביר,,,,183588,591313,,,ועד קיבוץ דביר,,,,פתוח ללא הגבלה,כן,כן,לא,לא,פעיל וזקוק לשיפוץ,,,2015,
בני שמעון,ברוש,214G4300960,אולם ספורט גדול - 45X24 מ',אולם ספורט יחדיו,,,,165426,586685,,בני שמעון,מועצה אזורית בני שמעון,,yosi@bns.org.il,,בתיאום בלבד,כן,כן,לא,לא,תקין ופעיל,"תקני וכולל שירותים, מקלחות וחדר שופטים",,2016,
בני שמעון,גבעות בר,214G3300915,אולם ספורט בינוני – 32x19 מ',אולם ספורט גבעות בר,,,,177203,584890,,בני שמעון,מועצה אזורית בני שמעון,,,,בתיאום בלבד,כן,כן,כן,כן,תקין ופעיל,"תקני וכולל שירותים, מקלחות וחדר שופטים",ליגה מקומית ואיזורית,2014,
בני שמעון,גבעות בר,214B2105209,מגרש ספורט משולב – 43X32 מ',מגרש משולב גבעות בר,,,,177171,584717,,בני שמעון,מועצה אזורית בני שמעון,,,,פתוח ללא הגבלה,כן,כן,כן,כן,תקין ופעיל,,,2012,יובלי הנגב
בני שמעון,בית קמה,214M1106245,מגרש מיני פיץ',מיניפיץ ניצני הנגב,,,,177255,595260,,בני שמעון,מועצה אזורית בני שמעון,,,,פתוח ללא הגבלה,כן,כן,לא,לא,תקין ופעיל,,,2012,ניצני הנגב
בני שמעון,תאשור,214M1106243,מגרש מיני פיץ',מיניפיץ תאשור,,,,166138,586777,,בני שמעון,מועצה אזורית בני שמעון,,,,בתיאום בלבד,כן,כן,לא,לא,תקין ופעיל,,,2014,
בנימינה-גבעת עדה,,689B2105929,מגרש ספורט משולב – 43X32 מ',מגרש ששת הימים,מושבה,ששת הימים,,196050,714170,1,,"מתנ""ס בנימינה ג. עדה",04-6288391,m.sportbox@gmail.com,,פתוח ללא הגבלה,כן,כן,כן,כן,פעיל וזקוק לשיפוץ,המתקן אינו עומד במידות התקניות לתחרויות,אינו משמש לתחרויות רשמיות,,
בנימינה-גבעת עדה,,689F1104242,מגרש כדורגל – 45X90 מ',מגרש כדורגל ג. עדה,אילנות,רח' הדפנה,,201800,713680,1,,"מתנ""ס בנימינה ג. עדה",04-6288391,m.sportbox@gmail.com,,בתיאום בלבד,כן,כן,לא,כן,תקין ופעיל,"תקני וכולל שירותים, מקלחות וחדר שופטים",אינו משמש לתחרויות רשמיות,,
בנימינה-גבעת עדה,,689B2104948,מגרש ספורט משולב – 43X32 מ',מגרש מקורה רב-תכליתי,שיכון בנימינה,עצמאות,,194510,714260,1,,"מתנ""ס בנימינה ג. עדה",04-6288391,m.sportbox@gmail.com,,בתיאום בלבד,כן,כן,כן,כן,תקין ופעיל,המתקן אינו עומד במידות התקניות לתחרויות,אינו משמש לתחרויות רשמיות,,
בנימינה-גבעת עדה,,689T1105988,מגרש טניס,מגרשי טניס ג. עדה,מושבה,חי,,200560,713460,2,,"מתנ""ס בנימינה ג. עדה",04-6288391,m.sportbox@gmail.com,,פתוח ללא הגבלה,כן,כן,לא,כן,לא תקין ולא פעיל,"תקני במידות אך ללא שירותים, מקלחות וחדר שופטים",אינו משמש לתחרויות רשמיות,,
בנימינה-גבעת עדה,,689B2103564,מגרש ספורט משולב – 43X32 מ',"מגרש בי""ס אמירים",זרעוניה,השעורה,,194120,714150,1,,"מתנ""ס בנימינה ג. עדה",04-6288391,m.sportbox@gmail.com,,בתיאום בלבד,כן,כן,כן,כן,תקין ופעיל,המתקן אינו עומד במידות התקניות לתחרויות,אינו משמש לתחרויות רשמיות,,אמירים
בנימינה-גבעת עדה,,689G4106740,אולם ספורט גדול - 45X24 מ',מרכז פיס בנימינה,שיכון בנימינה,העצמאות,,194540,714220,1,,"אגודת ספורט בית""ר בנימינה",04-6289212,m.sportbox@gmail.com,,בתיאום בלבד,כן,כן,כן,לא,תקין ופעיל,"תקני וכולל שירותים, מקלחות וחדר שופטים",מתקיימות במתקן תחרויות רשמיות,,
בנימינה-גבעת עדה,,689G3100198,אולם ספורט בינוני – 32x19 מ',"אולם בי""ס הנדיב",שיכון בנימינה,הסחלב,,194440,714320,1,,"מתנ""ס בנימינה ג. עדה",04-6288391,m.sportbox@gmail.com,,בתיאום בלבד,כן,כן,לא,כן,פעיל וזקוק לשיפוץ,המתקן אינו עומד במידות התקניות לתחרויות,אינו משמש לתחרויות רשמיות,,הנדיב
בנימינה-גבעת עדה,,689B2103763,מגרש ספורט משולב – 43X32 מ',מגרש הנדיב,שיכון בנימינה,הסחלב,,194440,714320,1,,"מתנ""ס בנימינה ג. עדה",04-6288391,m.sportbox@gmail.com,,פתוח ללא הגבלה,כן,כן,כן,כן,תקין ופעיל,המתקן אינו עומד במידות התקניות לתחרויות,אינו משמש לתחרויות רשמיות,,הנדיב
בנימינה-גבעת עדה,,689G3100193,אולם ספורט בינוני – 32x19 מ',"אולם בי""ס אשכולות",מושבה,המורה,,195460,713980,1,,"מתנ""ס בנימינה ג. עדה",04-6288391,m.sportbox@gmail.com,,בתיאום בלבד,כן,כן,כן,כן,תקין ופעיל,המתקן אינו עומד במידות התקניות לתחרויות,אינו משמש לתחרויות רשמיות,,אשכולות
בנימינה-גבעת עדה,,689B2103587,מגרש ספורט משולב – 43X32 מ',"מגרש בי""ס אשכולות",מושבה,המורה,,195440,713960,1,,"מתנ""ס בנימינה ג. עדה",04-6288391,m.sportbox@gmail.com,,בתיאום בלבד,כן,כן,כן,כן,תקין ופעיל,המתקן אינו עומד במידות התקניות לתחרויות,אינו משמש לתחרויות רשמיות,,אשכולות
בנימינה-גבעת עדה,,689B1104514,מגרש כדורסל – 19X32 מ',"מגרש כדורסל בי""תר",מושבה,הכרמל,,195240,714540,1,,"מתנ""ס בנימינה ג. עדה",04-6288391,m.sportbox@gmail.com,,פתוח ללא הגבלה,כן,כן,כן,כן,לא תקין ולא פעיל,המתקן אינו עומד במידות התקניות לתחרויות,אינו משמש לתחרויות רשמיות,,
בנימינה-גבעת עדה,,689T1105987,מגרש טניס,"מגרשי טניס בי""תר",מושבה,הכרמל,,195240,714540,2,,"מתנ""ס בנימינה ג. עדה",04-6288391,m.sportbox@gmail.com,,פתוח ללא הגבלה,כן,כן,כן,כן,לא תקין ולא פעיל,"תקני וכולל שירותים, מקלחות וחדר שופטים",אינו משמש לתחרויות רשמיות,,
בנימינה-גבעת עדה,,689G4106741,אולם ספורט גדול - 45X24 מ',מרכז פיס ג. עדה,מושבה,היסמין,,200680,713680,1,,"מתנ""ס בנימינה ג. עדה",04-6380308,m.sportbox@gmail.com,,בתיאום בלבד,כן,כן,כן,כן,תקין ופעיל,"תקני וכולל שירותים, מקלחות וחדר שופטים",אינו משמש לתחרויות רשמיות,,גבע
בנימינה-גבעת עדה,,689G1103012,אולם ספורט קטן – 20x10 מ',"חדר מחול מתנ""ס ג. עדה",מושבה,היסמין,,200680,713680,1,,"מתנ""ס בנימינה ג. עדה",04-6288391,m.sportbox@gmail.com,,בתיאום בלבד,כן,כן,כן,כן,תקין ופעיל,המתקן אינו עומד במידות התקניות לתחרויות,אינו משמש לתחרויות רשמיות,,גבע
בנימינה-גבעת עדה,,689F2104232,מגרש כדורגל - לא תקני,"מגרש כדורגל בי""ס גביע",מושבה,היסמין,,200680,713680,1,,"מתנ""ס בנימינה ג. עדה",04-6288391,m.sportbox@gmail.com,,פתוח ללא הגבלה,כן,כן,כן,כן,תקין ופעיל,המתקן אינו עומד במידות התקניות לתחרויות,אינו משמש לתחרויות רשמיות,,גבע
בנימינה-גבעת עדה,,689A1102981,מכון לכושר גופני,חדר כושר ג. עדה,מושבה,היסמין,,200680,713680,1,,"מתנ""ס בנימינה ג. עדה",04-6288391,m.sportbox@gmail.com,,כניסה בתשלום במקום,כן,כן,כן,כן,תקין ופעיל,המתקן אינו עומד במידות התקניות לתחרויות,אינו משמש לתחרויות רשמיות,,
בנימינה-גבעת עדה,,689P1102155,בריכת שחיה - 25X12.5 מ',בריכת ג. עדה,מושבה,הדקל,,200570,713520,1,,"מתנ""ס בנימינה ג. עדה",04-6288391,m.sportbox@gmail.com,,כניסה בתשלום במקום,כן,כן,כן,כן,תקין ופעיל,המתקן אינו עומד במידות התקניות לתחרויות,אינו משמש לתחרויות רשמיות,,
בנימינה-גבעת עדה,,689T1103924,מגרש טניס,מגרש טניס ג. עדה,אילנות,הדפנה,,201810,713740,1,,"מתנ""ס בנימינה ג. עדה",04-6288391,m.sportbox@gmail.com,,פתוח ללא הגבלה,כן,כן,כן,כן,תקין ופעיל,המתקן אינו עומד במידות התקניות לתחרויות,אינו משמש לתחרויות רשמיות,,
בנימינה-גבעת עדה,,689B2105877,מגרש ספורט משולב – 43X32 מ',מגרש רב-תכליתי ג. עדה,אילנות,הדפנה,,201830,713710,1,,"מתנ""ס בנימינה ג. עדה",04-6288391,m.sportbox@gmail.com,,פתוח ללא הגבלה,כן,כן,כן,כן,תקין ופעיל,המתקן אינו עומד במידות התקניות לתחרויות,אינו משמש לתחרויות רשמיות,,
בנימינה-גבעת עדה,,689M1106150,מגרש מיני פיץ',מיני פיץ,כרמי בנימינה,הברוש,,194380,713640,1,,"מתנ""ס בנימינה ג. עדה",04-6288391,m.sportbox@gmail.com,,פתוח ללא הגבלה,כן,כן,כן,כן,תקין ופעיל,המתקן אינו עומד במידות התקניות לתחרויות,אינו משמש לתחרויות רשמיות,,
בנימינה-גבעת עדה,,689T1103975,מגרש טניס,מגרש י טניס בנימינה,שיכון בנימינה,הארז\נילי,28,194630,714200,2,,"מתנ""ס בנימינה ג. עדה",04-6288391,m.sportbox@gmail.com,,בתיאום בלבד,כן,כן,לא,לא,תקין ופעיל,"תקני במידות אך ללא שירותים, מקלחות וחדר שופטים",אינו משמש לתחרויות רשמיות,,
בנימינה-גבעת עדה,,689F1104234,מגרש כדורגל – 45X90 מ',מגרש כדורגל בנימינה,שיכון בנימינה,הארז\העצמאות,28,194610,714230,1,,"מתנ""ס בנימינה ג. עדה",04-6288391,m.sportbox@gmail.com,,בתיאום בלבד,כן,כן,כן,כן,תקין ופעיל,"תקני וכולל שירותים, מקלחות וחדר שופטים",מתקיימות במתקן תחרויות רשמיות,,אורט בנימינה
בנימינה-גבעת עדה,,689G1107363,אולם ספורט קטן – 20x10 מ',"סטודיו מתנ""ס בנימינה",שיכון בנימינה,דרך נילי,28,194640,714180,1,,"מתנ""ס בנימינה ג. עדה",04-6288391,m.sportbox@gmail.com,,בתיאום בלבד,כן,כן,כן,כן,תקין ופעיל,המתקן אינו עומד במידות התקניות לתחרויות,אינו משמש לתחרויות רשמיות,,
"בסמ""ה",,123G3108580,אולם ספורט בינוני – 32x19 מ',אולם ספורט,ברטעה,"בסמ""ה",,207784,709231,,"בסמ""ה","עיריית בסמ""ה",046257693,raafatk@basma.muni.il,,בתיאום בלבד,כן,כן,כן,כן,לא פעיל,,לא רלוונטי,2020,כן
"בסמ""ה",,123K1108582,מגרש שחבק דשא סינטטי,שאחבק,ברטעה,"בסמ""ה",,207825,709193,,"בסמ""ה","עיריית בסמ""ה",046257693,raafatk@basma.muni.il,,פתוח ללא הגבלה,כן,כן,כן,כן,תקין ופעיל,"תקני במידות אך ללא שירותים, מקלחות וחדר שופטים",לא רלוונטי,2018,כן
"בסמ""ה",,123B2104983,מגרש ספורט משולב – 43X32 מ',מגרש משולב,עין אלסהלה,,,211602,710538,,"בסמ""ה",בית ספר,04-6257701,educ_basma@walla.com,,מבוקר ועד לילה,כן,כן,כן,לא,תקין ופעיל,המתקן אינו עומד במידות התקניות לתחרויות,אינו משמש לתחרויות רשמיות,2007,כן
"בסמ""ה",,123B2104976,מגרש ספורט משולב – 43X32 מ',מגרש משולב,מועאויה,,,209796,715124,,"בסמ""ה",בית ספר,04-6257701,educ_basma@walla.com,,בוקר בלבד,כן,לא,כן,לא,תקין ופעיל,המתקן אינו עומד במידות התקניות לתחרויות,אינו משמש לתחרויות רשמיות,2006,כן
"בסמ""ה",,123B2104974,מגרש ספורט משולב – 43X32 מ',מגרש משולב,ברטעה,,,208460,709009,,"בסמ""ה",בית ספר,04-6257701,educ_basma@walla.com,,בוקר בלבד,כן,לא,כן,לא,תקין ופעיל,המתקן אינו עומד במידות התקניות לתחרויות,אינו משמש לתחרויות רשמיות,2007,כן
"בסמ""ה",,123F2104134,מגרש כדורגל - לא תקני,מגרש כדור רגל,עין אלסהלה,,,211692,710508,,"בסמ""ה","מועצה מקומית בסמ""ה",,,,בתיאום בלבד,לא,לא,לא,כן,לא תקין ולא פעיל,"תקני במידות אך ללא שירותים, מקלחות וחדר שופטים",לא רלוונטי,1985,
"בסמ""ה",,123F3309075,אצטדיון כדורגל – 105X70 מ',מגרש כדורגל ברטעה,ברטעה,,,208020,709350,,"בסמ""ה","מועצה מקומית בסמ""ה",046257701,Educ_basma@walla.com,,מבוקר ועד לילה,לא,לא,לא,לא,תקין ופעיל,,,1985,
בסמת טבעון,,089G3100764,אולם ספורט בינוני – 32x19 מ',אולם ספורט,בסמת טבעון,ראשי,29,238100,765800,1,בסמת טבעון,מועצה מקומית,04-9832403,khalel_z@walla.com,500,בתיאום בלבד,כן,כן,כן,כן,תקין ופעיל,"תקני וכולל שירותים, מקלחות וחדר שופטים",מתקיימות במתקן תחרויות רשמיות,1989,"ב""ס יסודי"
בסמת טבעון,,089F3104148,אצטדיון כדורגל – 105X70 מ',מגרש כדורגל,שכונת סעדייה,קריים,,238200,765300,,בסמת טבעון,מועצה מקומית,04-9832403,khalel_z@walla.com,200,בתיאום בלבד,כן,כן,כן,כן,תקין ופעיל,"תקני במידות אך ללא שירותים, מקלחות וחדר שופטים",ליגה מקומית ואיזורית,1996,ב''ס תיכון
בסמת טבעון,,089B2104979,מגרש ספורט משולב – 43X32 מ',מגרש משולב,שכונת חילף,חילף,1,239700,765850,1,בסמת טבעון,מועצה מקומית,04-9832403,khalel_z@walla.com,,פתוח ללא הגבלה,כן,לא,כן,כן,תקין ופעיל,המתקן אינו עומד במידות התקניות לתחרויות,אינו משמש לתחרויות רשמיות,2006,כפר חילף
בסמת טבעון,,089B2104982,מגרש ספורט משולב – 43X32 מ',מגרש משולב,שכונת זבידאת,זבידאת,1,238100,765650,1,בסמת טבעון,מועצה מקומית,04-9832403,khalel_z@walla.com,250,פתוח ללא הגבלה,כן,כן,כן,כן,תקין ופעיל,"תקני במידות אך ללא שירותים, מקלחות וחדר שופטים",אינו משמש לתחרויות רשמיות,2006,"ב""ס יסודי זבידאת"
